Identifier,APA Citation,Title,Orientation,Primary Pattern(s) / Pathway(s),Domain Categories,Pipeline Stage,Pipeline Sub-stage,Historical Era,Triange coverage (AI + data production + community impacts),Rationale,Source type,How source was found,Keywords,Geographic region of focus,"Author affiliations (majority grouping if multiple, full details in note on positionality)",Geographic area of author (lead author if multiple),"Institution / Country
(lead author)",Authorship & positionality context,Summary,Additional Notes
"Feffer et al., 2023","Feffer, M., Skirpan, M., Lipton, Z., & Heidari, H. (2023). From Preference Elicitation to Participatory ML: A Critical Survey & Guidelines for Future Research. Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society, 38–48. https://doi.org/10.1145/3600211.3604661 ",From Preference Elicitation to Participatory ML: A Critical Survey & Guidelines for Future Research,Principles less-extractive,Early co-design and participatory initiatives,"Community impacts and relations, Data practices",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: surveys participatory ML methods; D: critiques preference-elicitation pipelines shaping data; C: centers meaningful stakeholder engagemen,"White (published journal papers, conference proceedings, books)",Database search,global; participatory ML; stakeholder participation; AI ethics,Not regionally specific,Academic,North America,"Carnegie Mellon University, USA",,"Surveys participatory ML, arguing common preference-elicitation methods flatten complex values and under-engage stakeholders. Proposes ten axes for evaluating participation across the ML lifecycle. Ties participation quality to how training data is defined, collected, and labeled, with direct implications for community representation in AI systems",
"Felkner et al., 2023","Felkner, V. K., Chang, H.-C. H., Jang, E., & May, J. (2023). WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models (No. arXiv:2306.15087). arXiv. https://doi.org/10.48550/arXiv.2306.15087 ",WinoQueer: A Community-in-the-Loop Benchmark for Anti-LGBTQ+ Bias in Large Language Models,Practices less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,Model Training & Evaluation,Era 3,ADC,A: measures LLM bias; D: co-creates benchmark with LGBTQ+ community; C: targets community-relevant harms and mitigation,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Database search,North America; LGBTQ+ benchmark; bias; mitigation,North America,Academic,North America,"Information Sciences Institute, University of Southern California, USA","Dartmouth College; Annenberg School
for Communication and Journalism
University of Southern California, USA","Builds WinoQueer from LGBTQ+ community reports of harm to capture bias phenomena that generic benchmarks miss. Evaluates several LLMs, showing significant anti-LGBTQ+ bias; shows that fine-tuning on relevant community text reduces bias. Provides a template for participatory benchmarks.",
"Fricker, 2007","Fricker, M. (2007). Epistemic injustice: Power and the ethics of knowing. Oxford university press.",Epistemic injustice: Power and the ethics of knowing,Extractive,Excluding underrepresented groups from decision-making,Critical theory/Historical background,Cross-pipeline,Cross-pipeline,Multi-era,C,A: none; D: none (indirect implications); C: defines testimonial and hermeneutical injustice marginalizing communities in knowledge systems,"White (published journal papers, conference proceedings, books)",Iterative keyword search,"epistemic injustice, credibility, exclusion",Not regionally specific,Academic,EU/UK,"Birkbeck College, University of London",,"DIscusses concept of epistemic injustice and the exclusion of marginalized groups from full participation in knowledge sharing and social understanding. It includes testimonial injustice, where identity prejudice undermines the credibility of speakers, and hermeneutical injustice, where marginalized groups are excluded from shaping broader social meanings due to systemic barriers.",
"Gadiraju et al., 2023","Gadiraju, V., Kane, S., Dev, S., Taylor, A., Wang, D., Denton, E., & Brewer, R. (2023). “I wouldn’t say offensive but...”: Disability-Centered Perspectives on Large Language Models. 2023 ACM Conference on Fairness, Accountability, and Transparency, 205–216. https://doi.org/10.1145/3593013.3593989 ",“I wouldn’t say offensive but...”: Disability-Centered Perspectives on Large Language Models,Extractive,"""Deploying AI systems that lack local, contextual data""","Community impacts and relations, Data practices",ML System Design & Development,Model Training & Evaluation,Era 3,ADC,A: probes LLM outputs; D: connects failures to biased data/training; C: centers lived experiences of disabled participants,"White (published journal papers, conference proceedings, books)",Database search,"Global, large language models, disability, stereotypes",Not regionally specific,Mixed,North America,"University of Colorado Boulder, USA","Google Research; City University of London, UK; University of Michigan, USA","Focus groups with 56 people with disabilities revealed that LLMs perpetuate subtle harms—e.g., inspiration porn and able-bodied savior tropes—rather than overt offensiveness. Findings highlight systemic bias in training data. Authors recommend co-design with disability communities, diverse annotation, and collaborative model development.",
"Gago & Mezzadra, 2017","Gago, V., & Mezzadra, S. (2017). A Critique of the Extractive Operations of Capital: Toward an Expanded Concept of Extractivism. Rethinking Marxism, 29(4), 574–591. https://doi.org/10.1080/08935696.2017.1417087
",A Critique of the Extractive Operations of Capital: Toward an Expanded Concept of Extractivism,Extractive,Soliciting data without reciprocal benefits,Critical theory/Historical background,Problem Understanding & Formulation,Institutional Prioritization & Funding,Multi-era,DC,A: none; D: expands extractivism concept beyond natural resources to include data and social cooperation; C: analyzes impacts on labor and social spaces in Latin American contexts,"White (published journal papers, conference proceedings, books)",Database search,"extractivism, capitalism, financialization","LatAm (includes Central America, South America & Carribbean)",Academic,"LatAm (includes Central America, South America & Carribbean)","University of Buenos Aires, National University of San Martín, National Scientific and Technical Research Council (CONICET, Argentina",,"Critiques the dominant understanding of extractivism in Latin America by broadening its scope to encompass contemporary capitalist processes. The authors argue that extractivism is not limited to the extraction of natural resources like minerals and agricultural products, but also includes the extraction of value from human labor and life through financialization, digitalization, and even the exploitation of social and political spaces. They contend that financial capital, through processes of financialization, functions as an extractive apparatus that generates wealth by drawing upon ""future production,"" and that this ""extractive"" function is a defining feature of contemporary capitalism. By exploring the interconnections between extractivism, financialization, and the production of social cooperation, the authors highlight how these interconnected operations contribute to a pattern of valorization that differs from that of industrial capitalism.",
"Garcia et al., 2022","Garcia, P., Sutherland, T., Salehi, N., Cifor, M., & Singh, A. (2022). No! Re-imagining Data Practices Through the Lens of Critical Refusal. Proc. ACM Hum.-Comput. Interact., 6(CSCW2), 315:1-315:20. https://doi.org/10.1145/3557997",No! Re-imagining Data Practices Through the Lens of Critical Refusal,Principles less-extractive,Other/NA (conceptual framing),"Data practices, Critical theory/Historical background",Problem Understanding & Formulation,Product Conception & Design,Multi-era,ADC,"A: links refusal to alternatives in AI data practices; D: examines how refusal disrupts extractive data logics; C: foregrounds power, inequities, and interlocking struggles","White (published journal papers, conference proceedings, books)",Database search,North America; critical refusal; feminist data practice; inequity,North America,Academic,North America,"University of Michigan, Ann Arbor, MI, USA","University of Hawai'i at Manoa, Honolulu, HI, USA; University of California, Berkeley, Berkeley, CA, USA; University of Washington, Seattle, WA, USA","Theorizes “critical refusal” as a practice for confronting unequal power in data work. Using the Feminist Data Manifest-No and cases, authors show how saying “no” can open space for community-protective alternatives, reorienting goals, methods, and governance away from extraction and toward justice across intertwined struggles.",
"García et al., 2024","García, A., Rogotis, S., Farrell, E., Hajikhani, A., Kinnula, A., Komssi, M., & Tuikka, T. (Eds.). (2024). Generative AI and Data Spaces: White Paper. Data Spaces Support Centre.",Generative AI and Data Spaces: White Paper,Practices less-extractive,Developing federated data spaces,Data practices,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,AD,"A: links GenAI adoption to governed data infrastructure; D: proposes secure, interoperable data spaces; C: none","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Iterative keyword search,Europe; data space; governance; interoperability,EU/UK,Mixed,EU/UK,"Data Spaces Support Centre (DSSC), EU; Big Data Value Association (BDVA), BE; Joint Research Centre (JRC), Italy; Fraunhofer Group for Microelectronics, Germany",,"Examines how European data spaces can support GenAI via governed, interoperable access to domain data. Identifies barriers (quality, legal constraints, skills, sustainability) and offers sectoral cases and recommendations. Frames data-space design as an actionable route to higher-quality training inputs and compliance, affecting how data is produced, shared, and reused for AI.",
"Gebru et al., 2021","Gebru, T., Morgenstern, J., Vecchione, B., Vaughan, J. W., Wallach, H., III, H. D., & Crawford, K. (2021). Datasheets for datasets. Commun. ACM, 64(12), 86–92. https://doi.org/10.1145/3458723",Datasheets for datasets,Practices less-extractive,Building public visibility in dataset development,Data practices,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: formalizes dataset documentation artifact; D: presents question template covering creation, composition, use, and maintenance; C: aims to mitigate harmful outcomes for affected groups","White (published journal papers, conference proceedings, books)",Database search,"data documentation, dataset creators, dataset consumers, transparency & accountability",Not regionally specific,Mixed,North America,"DAIR Institute, Palo Alto, CA, USA",,"Proposes “datasheets” as standardized documentation for datasets, detailing motivation, composition, collection, processing, intended uses, distribution, and maintenance. Positions documentation as technical infrastructure that supports transparency, accountability, and better communication between dataset creators and consumers, reducing downstream harms and enabling more ethical ML practice.",
"Ghana NLP, n.d.","Ghana NLP. (n.d.). Ghana Natural Language Processing (NLP)— Ghana NLP. Retrieved September 7, 2025, from https://ghananlp.org/",Ghana Natural Language Processing (NLP),Practices less-extractive,"Creating culturally inclusive datasets, Community engaged data production",Community impacts and relations,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: motivates gaps in language tech for Ghana; D: develops datasets, tools, and systems for local use; C: builds regional capacity and access","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences",Africa; Ghanaian language; dataset; local application,Africa,NGO/Non-profit,Africa,"Ghana NLP, Ghana",,"Describes an open-source initiative dedicated to developing resources and applications for Ghanaian languages. The group focuses on building corpora, adapting state-of-the-art NLP methods to low-resource contexts, and creating systems such as translation tools for Twi, Ewe, and Frafra. Their work demonstrates how locally driven projects overcome data scarcity while aligning technology development with community needs. The initiative positions open datasets and applications as community assets rather than proprietary products. This approach links AI data production to regional inclusion, strengthening access to language technologies across West Africa and reducing dependency on external platforms.",
"Gilman, 2022","Gilman, M. E. (2022). Beyond window dressing: public participation for marginalized communities in the datafied society. Fordham L. Rev., 91, 503.",Beyond Window Dressing: Public Participation for Marginalized Communities in the Datafied Society,Principles less-extractive,Early co-design and participatory initiatives,"Data practices, Community impacts and relations",Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 3,DC,A: none (indirect implications); D: analyzes participation mechanisms in data governance; C: focuses on marginalized communities’ capacity to influence outcomes,"White (published journal papers, conference proceedings, books)",Iterative keyword search,North America; public participation; data governance; marginalized community,North America,Academic,North America,"University of Baltimore, USA",,"Evaluates participation in datafied governance with attention to legal design. Argues that transparency, enforceable duties, and resources are prerequisites for meaningful input by marginalized communities. Connects procedural design to upstream agenda setting and downstream data decisions that shape AI-mediated services.",
"Goetze, 2024","Goetze, T. S. (2024). AI Art is Theft: Labour, Extraction, and Exploitation: Or, On the Dangers of Stochastic Pollocks. The 2024 ACM Conference on Fairness, Accountability, and Transparency, 186–196. https://doi.org/10.1145/3630106.3658898","AI Art is Theft: Labour, Extraction, and Exploitation: Or, On the Dangers of Stochastic Pollocks",Extractive,Collecting vast amounts of data to train AI systems,Data practices,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: critiques generative-image model training; D: argues web-scraped datasets appropriate artistic labor; C: articulates harms to creative workers and futures,"White (published journal papers, conference proceedings, books)",Database search,generative AI; art; extraction; labor,Not regionally specific,Academic,North America,"Cornell University, USA",,"Critically examines AI image generation’s reliance on mass-scraped art corpora, arguing this appropriates labor and devalues future creative work. Frames training-data practices as extractive and calls for remedies that recognize artists’ rights and sustain creative ecosystems.",
"Gray & Suri, 2019","Gray, M. L., & Suri, S. (2019). Ghost Work: How to Stop Silicon Valley from Building a New Global Underclass. Houghton Mifflin Harcourt.",Ghost Work: How to Stop Silicon Valley from Building a New Global Underclass,Extractive,Exploitative and invisible data labor,Data labor,ML System Design & Development,"Data Selection, Collection & Annotation",Multi-era,ADC,A: platform/policy remedies for AI supply chain; D: details annotation workflows & precarity; C: worker-centered reforms,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences","ghost work, on-demand platforms, global labor economy",Multiple areas,Mixed,North America,"Harvard, MA, USA; Microsoft Research and Indiana University, IN, USA",,"Book arguing that the rapid rise of “ghost work,” meaning tasks performed online by invisible workers for companies like Amazon, Google, and Microsoft, is creating a new global underclass. The authors use anecdotes, data, and historical analysis to illustrate how the increasing reliance on on-demand platforms is eroding traditional employment structures and leaving workers vulnerable and exploited. They argue that this “algorithmic cruelty” is not just a technological issue but a social and economic one, demanding a reevaluation of how we think about work, labor rights, and the social contract between employers and employees. The authors advocate for a more worker-centered approach to platform design, including the creation of professional guilds to promote collaboration and advocacy. They also urge for policy changes that recognize the value of ghost work and provide workers with greater security and benefits, arguing that the future of work depends on a sustainable and ethical on-demand labor economy.",
"Grosfoguel, 2019","Grosfoguel, R. (2019). Epistemic Extractivism: A Dialogue with Alberto Acosta, Leanne Betasamosake Simpson, and Silvia Rivera Cusicanqui. In B. de S. Santos & M. Meneses (Eds.), Knowledges Born in the Struggle: Constructing the Epistemologies of the Global South (pp. 203–218). Routledge.","Epistemic Extractivism: A Dialogue with Alberto Acosta, Leanne Betasamosake Simpson, and Silvia Rivera Cusicanqui",Extractive,Other/NA (conceptual framing),Critical theory/Historical background,Problem Understanding & Formulation,Institutional Prioritization & Funding,Multi-era,C,A: none; D: critiques epistemic extraction as appropriation of Indigenous knowledge into Western frameworks; C: surfaces Indigenous and Global South perspectives on knowledge production.,"White (published journal papers, conference proceedings, books)",Database search,epistemic extractivism; indigenous knowledge; coloniality,Multiple areas,Academic,North America,"University of California, Berkeley, USA",,"Defines epistemic extractivism as appropriation of ideas without horizontal dialogue, subsuming Indigenous knowledge into Western frameworks. Through dialogue with Acosta, Simpson, and Rivera Cusicanqui, critiques historical and ongoing practices of intellectual colonization that limit knowledge diversity and sovereignty.",
"Groves et al., 2023","Groves, L., Peppin, A., Strait, A., & Brennan, J. (2023). Going public: The role of public participation approaches in commercial AI labs (No. arXiv:2306.09871). arXiv. https://doi.org/10.48550/arXiv.2306.09871",Going public: The role of public participation approaches in commercial AI labs,Practices less-extractive,Early co-design and participatory initiatives,"Data practices, Community impacts and relations",Cross-pipeline,Cross-pipeline,Era 3,ADC,A: examines participation in AI labs; D: surfaces organizational/process barriers to integrating input; C: assesses risks of tokenism and exploitation,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Database search,Multiple areas; public participation; commercial AI lab; barrier,Multiple areas,Mixed,EU/UK,"Ada Lovelace Institute, London, UK",,"Interviews industry practitioners on public participation in commercial AI labs. Finds interest but limited capability, incentives, and evidence, especially for general-purpose AI. Identifies cost, expertise, and pace as barriers. Shows how weak participation affects data and model decisions, limiting benefits for affected publics.",
"Guerrero Millan et al., 2024","Guerrero Millan, C., Nissen, B., & Pschetz, L. (2024). Cosmovision Of Data: An Indigenous Approach to Technologies for Self-Determination. Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems, 1–13. https://doi.org/10.1145/3613904.3642598",Cosmovision Of Data: An Indigenous Approach to Technologies for Self-Determination,Principles less-extractive,Decentering Western ontologies,"Community impacts and relations, Data practices",Problem Understanding & Formulation,Product Conception & Design,Multi-era,ADC,A: challenges standard AI framings by embedding Indigenous cosmovision; D: redefines data perception and use; C: advances community autonomy and self-determination,"White (published journal papers, conference proceedings, books)",Database search,"Mexico, indigenous data, cosmovision, sovereignty, community technology","LatAm (includes Central America, South America & Carribbean)",Academic,EU/UK,"Design Informatics, University of Edinburgh, UK",,"Fieldwork with Masewal collaborators examines existing and envisioned community technologies through “cosmovisión” lenses. Paper articulates micro/meso/macro frames linking individual practices, communal action, and world-making. Findings show communities appropriate technologies for autonomy and environmental relations. The authors offer design considerations that embed Indigenous epistemologies, repositioning data as relational and context-rich rather than abstract resource.",
"Hada et al., 2024","Hada, R., Husain, S., Gumma, V., Diddee, H., Yadavalli, A., Seth, A., Kulkarni, N., Gadiraju, U., Vashistha, A., Seshadri, V., & Bali, K. (2024). Akal Badi ya Bias: An Exploratory Study of Gender Bias in Hindi Language Technology. The 2024 ACM Conference on Fairness, Accountability, and Transparency, 1926–1939. https://doi.org/10.1145/3630106.3659017 ",Akal Badi ya Bias: An Exploratory Study of Gender Bias in Hindi Language Technology,Extractive,"""Deploying AI systems that lack local, contextual data""","Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: examines bias in NLP systems; D: evaluates annotation and data mining processes; C: involves rural women in identifying harms and needs,"White (published journal papers, conference proceedings, books)",Hand-searching key journals,"India, gender bias, crowdsourcing, annotation, Hindi",APAC (Asia-Pacific Region),Mixed,APAC (Asia-Pacific Region),"Microsoft Research, India","Karya; Carnegie Mellon University; University of Michigan; Delft University of Technology; Cornell University. Primary author in India; multi-institutional team including academia, labs, and industry","Study probes gender bias in Hindi NLP, showing limits of English-centric bias detection methods. Combining computational analysis with fieldwork, it engaged rural women annotators to surface culturally specific views of bias. Findings highlight context-dependent definitions of harm, need for inclusive workflows, and value of participatory approaches in multilingual AI.",
"Hadfield et al., 2023","Hadfield, G., Cuéllar, M.-F. (Tino), & O’Reilly, T. (2023). It’s Time to Create a National Registry for Large AI Models. Carnegie Endowment for International Peace. https://carnegieendowment.org/posts/2023/07/its-time-to-create-a-national-registry-for-large-ai-models 
",It’s Time to Create a National Registry for Large AI Models,Principles less-extractive,Building public visibility in dataset development,Ethics frameworks,Cross-pipeline,Cross-pipeline,Era 3,AD,A: argues for registries to govern large AI models; D: operationalizes transparency/publicness as part of model/data production; C: none (indirect implications),"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Iterative keyword search,USA; AI registry; governance; transparency,North America,Mixed,North America,"University of Toronto and Vector Institute for Artificial Intelligence, Canada","Carnegie Endowment for International Peace, USA; O’Reilly Media and University College London's Institute for Innovation and Public Purpose, UK","Argues for a national registry of large AI models to provide basic transparency about who is training what, for whom, and with what risks. Frames registration as a minimal governance tool analogous to other regulated domains, enabling oversight without exposing IP. Emphasizes public visibility as the first step toward accountable AI ecosystems.",
"Hall et al., 2024","Hall, M., Bell, S. J., Ross, C., Williams, A., Drozdzal, M., & Soriano, A. R. (2024). Towards Geographic Inclusion in the Evaluation of Text-to-Image Models. Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency, 585–601. https://doi.org/10.1145/3630106.3658927",Towards Geographic Inclusion in the Evaluation of Text-to-Image Models,Practices less-extractive,"Creating culturally inclusive datasets, Community engaged data production","Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: evaluates T2I with cross-regional annotators; D: analyzes stereotype/appeal/helpfulness differences; C: calls for global annotation and coverage,"White (published journal papers, conference proceedings, books)",Database search,multiple regions; text-to-image; geographic inclusion; annotation,Multiple areas,Industry,North America,"Meta (FAIR), USA","Meta (FAIR), France and Canada; Mila, Canada and McGill University, Canada","Cross-cultural annotation in Africa, Europe, SE Asia (65k+ images; surveys) shows region-dependent judgments of stereotypes and usefulness. Argues evaluation must reflect diverse perspectives to avoid Global-North centric bias and to guide dataset/model adjustments.",
"Hall et al., 2025","Hall, S. M., Dalal, S., Sefala, R., Yuehgoh, F., Alaagib, A., Hamzaoui, I., Ishida, S., Magomere, J., Crais, L., Salama, A., & Afonja, T. (2025). The Human Labour of Data Work: Capturing Cultural Diversity through World Wide Dishes (No. arXiv:2502.05961). arXiv. https://arxiv.org/abs/2502.05961v1",The Human Labour of Data Work: Capturing Cultural Diversity through World Wide Dishes,Practices less-extractive,"Creating culturally inclusive datasets, Crowdsourcing data collection","Data practices, Community impacts and relations, Data labor",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: situates dataset for ML uses and evaluation; D: details participatory, crowdsourced collection and curation; C: foregrounds community contribution, cultural nuance, and data labour","White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences",global; dataset; crowdsourcing; cultural representation; community engagement,Multiple areas,Academic,EU/UK,"University of Oxford, United Kingdom","University of Oxford, United Kingdom; University of Colorado Boulder, USA; DAIR Institute, Mila, McGill University, South Africa; Conservatoire National des Arts et Métiers (CNAM), France
AISHA ALAAGIB, Independent researcher, Sudan
IMANE HAMZAOUI, École nationale Supérieure d’Informatique Algiers, New York University Abu Dhabi, Algeria
SHU ISHIDA, University of Oxford, United Kingdom
JABEZ MAGOMERE, University of Oxford, United Kingdom
LAUREN CRAIS, University of Oxford, United Kingdom
AYA SALAMA, Microsoft Egypt, Egypt
TEJUMADE AFONJA, CISPA Helmholtz Center for Information Security & AI Saturdays Lagos, Germany & Nigeria","Looks at creation of a dataset for ML with a focus on cultural representation. The authors discuss their experience building the World Wide Dishes (WWD) dataset, which uses a participatory approach involving community members in designing the research and crowdsourcing data about culinary dishes. A core argument is that building diverse datasets requires significant, often invisible, human labor related to community engagement, accessibility, data production, and understanding cultural nuances. By analyzing their experiences, the authors aim to contribute to the computer-supported cooperative work (CSCW) literature and guide future participatory dataset construction efforts. They highlight that infrastructure and attention to the human processes behind data collection are crucial to representing cultural diversity in ML datasets and models.",
"Hancock et al., 2024","Hancock, J., Mahesh, S., Cobbe, J., Singh, J., & Mazumder, A. (2024). The tensions of data sharing for human rights: A modern slavery case study. The 2024 ACM Conference on Fairness, Accountability, and Transparency, 974–987. https://doi.org/10.1145/3630106.3658949",The tensions of data sharing for human rights: A modern slavery case study,Principles less-extractive,Participatory data ownership & governance,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,DC,A: none; D: examines data sharing practices in modern slavery context; C: analyzes impacts on vulnerable communities and marginalized groups,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Hand-searching key journals,"modern slavery, data sharing, human rights",EU/UK,NGO/Non-profit,EU/UK,"Alan Turing Institute, UK","University of Cambridge, UK","Investigates the unintended consequences of data sharing within the context of human rights, specifically focusing on efforts to combat modern slavery in the UK. While data sharing is often touted as a way to increase transparency and improve responses to human rights abuses, the authors argue that it can also lead to further harms. Through interviews, workshops, and analysis of the UK’s modern slavery data ecosystem, they uncover several concerns: legal uncertainties, a lack of transparency and accountability in data handling, and the potential for data misuse. The authors conclude by suggesting that these issues may be present in other human rights contexts where data sharing is utilized. They advocate for increased scrutiny of fairness, accountability, and transparency within these data ecosystems to ensure that vulnerable communities are not further marginalized.",
"Hanschke et al., 2024","Hanschke, V. A., Rees, D., Alanyali, M., Hopkinson, D., & Marshall, P. (2024). Data Ethics Emergency Drill: A Toolbox for Discussing Responsible AI for Industry Teams. Proceedings of the CHI Conference on Human Factors in Computing Systems, 1–17. https://doi.org/10.1145/3613904.3642402",Data Ethics Emergency Drill: A Toolbox for Discussing Responsible AI for Industry Teams,Principles less-extractive,Building public visibility in dataset development,Ethics frameworks,Problem Understanding & Formulation,Product Conception & Design,Era 3,AD,A: introduces a role-play toolbox (DEED) for AI teams; D: operationalizes ethics discussion in workflow; C: none (indirect implications),"White (published journal papers, conference proceedings, books)",Database search,ethics toolbox; industry team; role-play; reflection,Not regionally specific,Mixed,EU/UK,"University of Bristol, UK",,"Presents DEED, a role-play “ethical emergency” exercise tailored to teams’ contexts. Through studies with two industry data-science teams, shows how structured role-play surfaces risks, values, and trade-offs early in conception and design. Provides actionable materials that embed ethical reflection into everyday AI practice, improving visibility into potential data and model harms.",
"Hao & Hernandez, 2022","Hao, K., & Hernández, A. P. (2022, April 20). How the AI industry profits from catastrophe. MIT Technology Review. https://www.technologyreview.com/2022/04/20/1050392/ai-industry-appen-scale-data-labels/",How the AI industry profits from catastrophe,Extractive,Exploitative and invisible data labor,Data labor,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: limited; D: exposes crisis-driven, low-wage labeling supply chains; C: evidences harms to Venezuelan workers","Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Database search,"data labeling, Venezuela, context-case, data labor","LatAm (includes Central America, South America & Carribbean)",Journalist/Other/Not Sure,North America,"Journalist (publication in MIT technology review), USA",2nd author freelance journalist from Venezuela,"Investigates the exploitative labor practices within the AI industry, specifically data labeling. The authors focus on Venezuela, where economic collapse coincided with a surge in demand for low-cost data annotation, making the country a prime source of labor for companies like Scale AI and Appen. Through the story of Oskarina Fuentes Anaya, a Venezuelan data labeler, the article exposes the difficult working conditions, low pay, and lack of worker protections prevalent in the industry. Furthermore, it raises concerns about the industry's potential to repeat these exploitative patterns in other vulnerable countries seeking economic opportunity. ",
"Hao, 2022","Hao, K. (2022, April 22). A new vision of artificial intelligence for the people. MIT Technology Review. https://www.technologyreview.com/2022/04/22/1050394/artificial-intelligence-for-the-people/",A new vision of artificial intelligence for the people,Extractive,Prioritizing data wants over community needs,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: critiques scale-first AI incentives; D: profiles Te Hiku’s community-created language data; C: foregrounds Māori data sovereignty and benefit alignment,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Database search,Oceania; Māori language data; sovereignty; minority language benefit,Oceania,Journalist/Other/Not Sure,North America,"Journalist (publication in MIT technology review), USA",,"Reports how Te Hiku Media builds Māori language datasets through community recording and governance, rejecting “more data at any cost.” Shows how sovereignty contracts and local control counter extractive corporate offers, linking data production choices to culturally aligned AI tools and benefits for te reo Māori speakers.",
"Haraway, 1988","Haraway, D. (1988). Situated Knowledges: The Science Question in Feminism and the Privilege of Partial Perspective. Feminist Studies, 14(3), 575–599. https://doi.org/10.2307/3178066",Situated Knowledges: The Science Question in Feminism and the Privilege of Partial Perspective,Extractive,Other/NA (conceptual framing),"Community impacts and relations, Critical theory/Historical background",Cross-pipeline,Cross-pipeline,Multi-era,C,A: none; D: none (indirect implications); C: theorizes accountability and partial perspective shaping knowledge practices and authority.,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences","North America, knowledge production, objectivity, accountability",North America,Academic,North America,"University of California, Santa Cruz, USA",,"Seminal critique of traditional notions of objectivity in science that argues against the idea of a detached, all-seeing perspective termed the ""god trick."" She contends that all knowledge is situated and embodied, meaning it arises from a particular viewpoint and experience, challenging the perceived neutrality of scientific inquiry. Advocates for a feminist objectivity that embraces partial perspectives and acknowledges the active agency of the world, rather than seeing it as a passive object for human manipulation. The approach encourages accountability in knowledge production and fosters a ""successor science"" built on connections, contestation, and the transformative potential of understanding the world from diverse, often subjugated, viewpoints.",
"Heeks & Shekhar, 2019","Heeks, R., & Shekhar, S. (2019). Datafication, development and marginalised urban communities: An applied data justice framework. Information, Communication & Society, 22(7), 992–1011. https://doi.org/10.1080/1369118X.2019.1599039 ","Datafication, development and marginalised urban communities: An applied data justice framework",Principles less-extractive,"Early co-design and participatory initiatives, Participatory data ownership & governance","Community impacts and relations, Data practices",ML System Design & Development,"Data Selection, Collection & Annotation",Multi-era,ADC,A: proposes applied data justice for development; D: analyzes community mapping projects and governance choices; C: centers marginalized urban communities’ visibility and risks,"White (published journal papers, conference proceedings, books)",Database search,India/Africa; community mapping; data justice; urban development,APAC (Asia-Pacific Region),Mixed,EU/UK,"University of Manchester, UK","Citizen Consumer and Civic Action Group, India","Examines the impact of datafication on urban development in the global South, specifically its effects on marginalized communities. The authors argue that while datafication initiatives offer potential benefits, they often exacerbate existing inequalities. They introduce a data justice framework to analyze four community mapping projects in Chennai, Nairobi, Pune, and Solo. These projects, aimed at making marginalized communities more visible in urban data, demonstrate both the potential and the limitations of data-driven initiatives. While some progress is observed in terms of resource allocation and policy changes, the authors caution that datafication can entrench existing power structures and further marginalize vulnerable communities unless carefully designed and implemented.",
